movie_id,title,poster_path,backdrop_path,genres,overview,year,runtime,vote_average,added_date
107,Snatch,/kJZoAHq1SLDdWjeNGtlHAnGpmFV.jpg,/gTghF8ardwJ48XLHkiapWk3ZmSo.jpg,"Crime, Comedy","Unscrupulous boxing promoters, violent bookies, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewellers fight to track down a priceless stolen diamond.",2000,0,7.8,2026-08-24
359246,Hell House LLC,/xUSCQEbbAy3Lv6r00RfXtdxhRDX.jpg,/u3ZOKKSonIVzNFlDwPd2kPypXy6.jpg,"Horror, Mystery","Five years after an unexplained malfunction causes the death of 15 tour-goers and staff on the opening night of a Halloween haunted house tour, a documentary crew travels back to the scene of the tragedy to find out what really happened.",2015,0,6.5,2026-08-24
16,Dancer in the Dark,/pWzOfTJRZHPNO1VNrMnNFqRcJwg.jpg,/vxvzf0cGtFY2Vpw5ULWumCIW6Ri.jpg,"Drama, Crime","Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, dreaming up little numbers to the rhythmic beats of her surroundings.",2000,0,7.8,2026-08-24
553,Dogville,/lraVawavIXh5geMlVjpzCw9TGwR.jpg,/r3xsFBD1VTUusk393bBc7SsDUJe.jpg,"Crime, Drama, Thriller","A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town, she learns that their support has a price.",2003,0,7.7,2026-08-24
28467,Detective Story,/svtgTWLznh9uc3hmeABlH6ncoDN.jpg,/plcFFMExOfGPMd1DhAdpUhneuA1.jpg,"Horror, Drama, Thriller, Crime, Mystery",A detective and a businessman search for a serial killer who removes people's organs.,2007,0,5.9,2026-08-24
1100099,We Live in Time,/oeDNBgnlGF6rnyX1P1K8Vl2f3lW.jpg,/4t8IXJF4umwCfbdpeKLvlN3zkKp.jpg,"Romance, Drama","An up-and-coming chef and a recent divorcée find their lives forever changed when a chance encounter brings them together, in a decade-spanning, deeply moving romance.",2024,0,7.2,2026-08-24
381283,mother!,/fjny9chXPx69ln1LMJxbwi5yHMt.jpg,/2wS8pMZgvzq7kaZb5LHX54poQnA.jpg,"Horror, Drama","A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",2017,0,7.0,2026-08-24
1016084,BlackBerry,/nQSvHZDuMlrZdm7ooMo8gb4CXhW.jpg,/77znTO6EadTuJv5B6tpKqG1qo98.jpg,"Comedy, Drama, History",Two mismatched entrepreneurs – egghead innovator Mike Lazaridis and cut-throat businessman Jim Balsillie – joined forces in an endeavour that was to become a worldwide hit in little more than a decade. The story of the meteoric rise and catastrophic demise of the world's first smartphone.,2023,0,7.2,2026-08-24
1033318,Andor,/cXHojTWjLDz3vFn8o46uAR1qjrY.jpg,,Documentary,"Andor Stern is the only Brazilian survivor of the Holocaust. In this documentary, he goes back in his memories to relive the deportation to Auschwitz at age 16, and the daily conquest of a free life.",2022,0,8.5,2026-08-24
152792,Devil's Knot,/8DMDx7XMylIL7lpBEOMzIjuwhw0.jpg,/fyICKtzDeHosw97zoM6Tal7cied.jpg,"Crime, Drama, Thriller",The savage murders of three young children sparks a controversial trial of three teenagers accused of killing the kids as part of a satanic ritual.,2013,0,6.2,2026-08-24
12900,Conspiracy,/xKocKpTHaKcTuNRLu0rLbZWbLnH.jpg,/iESnRGuIiXKeNo3pKMRaZStXyH6.jpg,"History, Drama, War, TV Movie","At the Wannsee Conference on January 20, 1942, senior Nazi officials meet to determine the manner in which the so-called ""Final Solution to the Jewish Question"" can be best implemented.",2001,0,7.3,2026-08-24
