Date,Name,Year,Letterboxd URI,Rating,movie_id,genres,overview,director,cast,keywords,poster_path,backdrop_path
2026-07-03,Crime 101,2026.0,https://letterboxd.com/sarthi_watcher/film/crime-101/,3.0,1171145.0,"Crime, Thriller","When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher.",Bart Layton,"Chris Hemsworth, Mark Ruffalo, Halle Berry","robbery, based on novel or book, jewelry, heist, police chase, los angeles, california, police detective, diamond heist, insurance, lapd, motorcycle chase, jewel robbery, ford mustang, amused, antwerp diamonds",/tVvpFIoteRHNnoZMhdnwIVwJpCA.jpg,/zvGMwQ1mAFrxSzzMFT9WMEl6hxB.jpg
2026-07-03,Together,2025.0,https://letterboxd.com/sarthi_watcher/film/together-2025/,3.5,1242011.0,,,,,,/80slKYVM5teFH3kz6ouWrZXveqj.jpg,/39Niij05MXfibXBsHiUU0Ml0POX.jpg
2026-06-30,Dolemite Is My Name,2019.0,https://letterboxd.com/sarthi_watcher/film/dolemite-is-my-name/,4.0,528888.0,,,,,,/uoAqJg7ZSmftnBGOkupU1ySZQU0.jpg,/2ycAZWELqHygeqivCLuqNQsYPSP.jpg
2026-03-25,Non-hollywood Peak,,https://letterboxd.com/sarthi_watcher/list/non-hollywood-peak/,3.0,,,,,,,,
2026-02-19,Harry Potter 20th Anniversary: Return to Hogwarts,2022.0,https://boxd.it/xXJk,3.5,899082.0,Documentary,"An enchanting making-of story told through all-new in-depth interviews and cast conversations, inviting fans on a magical first-person journey through one of the most beloved film franchises of all time.",,,,/jntLBq0MLR3hrwKaTQswxACRPMs.jpg,/8rft8A9nH43IReybFtYt21ezfMK.jpg
2026-02-16,Sexual Drive,2021.0,https://boxd.it/tgkI,2.0,778663.0,"Comedy, Drama",Designer Enatsu worries about his sexless life. Office worker Akane is getting ready to return to work while undergoing rehab at home for panic attacks. Elite advertising agent Ikeyama wants to end his relationship with his lover. A shabby man named Kurita appears before all three with a secret.,,,,/48YKqDVRjZJLL7lAukWKoRjRfbh.jpg,/aasYkBk7HR6ZNrKy2mkKxTQdXvM.jpg
2026-02-15,Harry Potter and the Deathly Hallows: Part 2,2011.0,https://boxd.it/1RYk,4.5,12445.0,"Adventure, Fantasy","Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",,,,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,/cbcpDn6XJaIGoOil1bKuskU8ds4.jpg
2026-02-15,Harry Potter and the Deathly Hallows: Part 1,2010.0,https://boxd.it/1RYu,4.5,12444.0,"Adventure, Fantasy","Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",,,,/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg,/vcrgU0KaNj5mKUCIQSUdiQwTE9y.jpg
2026-02-14,Harry Potter and the Half-Blood Prince,2009.0,https://boxd.it/29FU,4.0,767.0,"Adventure, Fantasy","As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",,,,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,/ze6Mx4QE5mQVXRYmG2flncqqle4.jpg
2026-02-14,Harry Potter and the Order of the Phoenix,2007.0,https://boxd.it/29Qe,4.0,675.0,"Adventure, Fantasy","Returning for his fifth year at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of motivated students to defend themselves against the Dark Arts.",,,,/5aOyriWkPec0zUDxmHFP9qMmBaj.jpg,/pkxPkHOPJjOvzfQOclANEBT8OfK.jpg
2026-02-14,Harry Potter and the Goblet of Fire,2005.0,https://boxd.it/29Qo,4.5,674.0,"Adventure, Fantasy","When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",,,,/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,/1OV7hau4D3rWGS5bu8sqBYeVpe.jpg
2026-02-13,Harry Potter and the Prisoner of Azkaban,2004.0,https://boxd.it/29Qy,4.5,673.0,"Adventure, Fantasy","Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",,,,/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,/htmYEfH7TQgzsXHCnNXxmoYKQtL.jpg
2026-02-13,Harry Potter and the Chamber of Secrets,2002.0,https://boxd.it/29QI,4.0,672.0,"Adventure, Fantasy","Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione's magical abilities and courage.",,,,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,/1stUIsjawROZxjiCMtqqXqgfZWC.jpg
2026-02-11,TRON: Ares,2025.0,https://boxd.it/jqdM,2.0,533533.0,"Science Fiction, Adventure, Action","A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",,,,/chpWmskl3aKm1aTZqUHRCtviwPy.jpg,/pUNfHmVqfwRdILhCkU8TdysVOXo.jpg
2026-02-11,Mary Poppins,1964.0,https://boxd.it/2aoA,3.0,433.0,"Comedy, Family, Fantasy","In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",,,,/o4Wsby4ydIXhWmtmfvb451D5Np1.jpg,/nMXLizoHhVTeh3GjFyUOfNx3b7i.jpg
2026-02-08,OMG 2,2023.0,https://boxd.it/xz6S,3.5,888710.0,"Comedy, Drama","Life is bliss until one day Kanti Sharan Mudgal’s son Vivek is blamed for immoral conduct and expelled from school. Overwhelmed, Kanti plans to leave town until a divine intervention leads him to seek justice by taking those responsible to court.",,,,/kApiO3oL6t100aCtkcwEhk2kqgK.jpg,/9wmSV9Nk3j7GIEBQghJIGI0U2Nk.jpg
2026-02-07,OMG: Oh My God!,2012.0,https://boxd.it/4nuA,5.0,135718.0,"Comedy, Drama",A shopkeeper takes God to court when his shop is destroyed by an earthquake.,,,,/iTPzC3H2iG49xFIcMs01UfZeBXv.jpg,/kMUsTD4Dco26kkIUEhntbKZo0Ya.jpg
2026-02-07,Harry Potter and the Philosopher's Stone,2001.0,https://boxd.it/29QS,3.5,671.0,"Adventure, Fantasy","Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",,,,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,/1XAC6RPT01UX9EQGy2JVn5c8pgy.jpg
2026-02-05,The Invention of Lying,2009.0,https://boxd.it/1zGs,2.5,23082.0,"Comedy, Fantasy, Romance","Set in a world where the concept of lying doesn't exist, a loser changes his lot when he invents lying and uses it to get ahead.",,,,/clP8tDZeM9jgnqmu4VBClBDpLtS.jpg,/8ZlxM5IYLtg2KnRl1IoS83mlxt0.jpg
2026-01-31,Elektra,2005.0,https://boxd.it/1XsE,2.0,9947.0,"Action, Fantasy, Adventure","Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",,,,/gC6s6NKHneSrOKyQZnUMb443RKU.jpg,/2JMOTj6DFjNcg9KToctmfTV55EW.jpg
